key,en,es
START_BUTTON,START,COMENZAR
OPTIONS_BUTTON,OPTIONS,OPCIONES
OPTIONS_TITLE,OPTIONS,OPCIONES
SPANISH_BUTTON,SPANISH,ESPAÑOL
ENGLISH_BUTTON,ENGLISH,INGLÉS
BACK_BUTTON,BACK,ATRÁS
PAUSE_TITLE,PAUSE,PAUSA
MAIN_MENU_BUTTON,BACK TO MAIN MENU,VOLVER AL MENÚ INICIAL
RESUME_BUTTON,RESUME,CONTINUAR
EXIT_BUTTON,EXIT,SALIR
DESCRP_ROUND_1,We want to get rid of all sheeps that modify their body! Do you agree?,"Expulsar del pueblo a todas aquellas ovejas que no cumplan las pautas de apariencia establecidas en función de sus características biológicas, así como a todas aquellas que modifiquen su cuerpo, alterando de manera voluntaria los rasgos considerados propios de dichas características, con el fin de preservar el orden, la uniformidad y las normas tradicionales de la comunidad."
DESCRP_ROUND_2,We want to get rid of all brown sheeps! Do you agree?,"Expulsar del pueblo a todas las ovejas marrones, en atención a la conducta delictiva que se les atribuye, como medida preventiva y disuasoria destinada a salvaguardar la seguridad, el orden y la confianza dentro de la comunidad."
DESCRP_ROUND_3,We want to get rid of all deviated sheeps! Do you agree?,"Expulsar del pueblo a todas aquellas ovejas cuyos vínculos afectivos o comportamientos sociales difieran de lo considerado apropiado, así como a todas aquellas que incurran en actos considerados moralmente reprobables o delictivos, con el fin de preservar el orden, la moral colectiva y los valores tradicionales de la comunidad."
DESCRP_ROUND_4,Women must stay at home! Do you agree?,"Proceder a la cancelación de las votaciones populares, con el fin de preservar la seguridad, la coherencia y la confianza en los procesos comunitarios."
DESCRP_ROUND_5,We want to get rid of all sheeps that don't have an official certificate! Do you agree?,...
ELECTION_TITLE,POPULAR DECISION,PROPUESTA:
